user,Year,Gender (Optional),Race/Ethnicity (Optional),Team,Tenure,Leadership Role?,I know what is expected of me at Lotus Academies. ,"I have the materials, equipment, and resources I need to meet expectations in my work. ","At Lotus Academies, I have the opportunity to do what I do best every day. ","In the last seven days, I have received recognition or praise at work. ",My manager or someone at Lotus Academies seems to care about me as a person. ,Someone at work encourages and supports me in my professional growth. ,"At Lotus Academies, my opinions seem to count. ",I am passionate about Lotus Academies' mission and values. ,The people at Lotus Academies are committed to doing excellent work. ,"I have established strong, trusted relationships with co-workers at Lotus Academies. ","In the last six months, someone at work has talked to me about my progress. ","In the last year, I have had opportunities at work to learn and grow. ",Lotus Academies provides an attractive career path for people who are interested in working in education reform. ,I feel confident that Lotus Academies will make good decisions about the growth and direction of the firm. ,I am satisfied working at Lotus Academies. ,I would recommend employment at Lotus Academies to others. ,I feel safe to express my views at work.,Lotus Academies values and acts on diverse opinions and ideas.,Lotus Academies creates an environment where I can do my best work.,"At Lotus Academies, all employees are treated with respect.",I feel valued by Lotus Academies.,"I understand the rationale behind key strategic, organizational decisions we make at Lotus Academies.","I think it’s valuable to examine and discuss the impact of race, gender, and other identities on our work at CGSF.","I have a basic understanding of concepts related to diversity, equity, and inclusion.",Lotus Academies leadership is equipped to participate in internal and external conversations about race and gender.,I am clear on which decisions I have the authority to make.,"When I work with others, it is clear who will make which decisions."
30,2019,Male,Asian,Foreign Language,Less than 1 year,Non-Leader,6,7,6,1,5,6,5,7,7,6,7,7,7,6,5,5,5,5,5,5,6,,,,,,
31,2019,Male,Asian,Mathematics/English,Over 3 years,Leader,6,7,6,7,7,6,7,7,7,7,7,6,7,6,7,7,7,5,6,6,7,,,,,,
32,2019,Male,Asian,Mathematics/English,Less than 1 year,Non-Leader,5,6,5,6,6,5,5,6,7,5,6,7,5,6,5,7,6,6,6,7,6,,,,,,
33,2019,Male,Asian,Visual Art,Over 3 years,Non-Leader,7,7,7,7,7,6,7,7,7,7,7,6,6,6,7,6,7,5,6,6,7,,,,,,
34,2019,Male,Black,English Language Arts,Over 3 years,Leader,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,4,6,4,7,,,,,,
35,2019,Male,Black,Social Studies,Less than 1 year,Non-Leader,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,,,,,,
36,2019,Male,Black,Social Studies,Less than 1 year,Non-Leader,5,7,5,7,6,5,6,6,7,5,7,5,5,7,6,6,6,7,6,5,7,,,,,,
37,2019,Male,"Multiple or some other race, ethnicity, or origin",Mathematics/English,Over 3 years,Non-Leader,7,4,5,4,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,,,,,,
38,2019,Male,White,Foreign Language,Less than 1 year,Non-Leader,6,5,6,7,7,7,6,6,7,5,7,7,7,6,5,5,4,6,5,7,6,,,,,,
39,2019,Male,White,Foreign Language,Over 3 years,Leader,6,6,6,4,6,6,6,7,5,5,6,5,7,6,5,6,5,5,5,6,5,,,,,,
40,2019,Male,White,Foreign Language,Less than 1 year,Non-Leader,6,7,6,7,6,6,6,7,7,6,6,7,7,7,7,7,7,7,6,7,6,,,,,,
41,2019,Male,White,Social Studies,Less than 1 year,Non-Leader,5,7,5,5,7,5,6,6,7,5,5,6,6,7,6,6,6,6,6,6,6,,,,,,
42,2019,Male,White,Social Studies,Less than 1 year,Leader,6,7,6,7,7,6,7,7,7,7,7,7,6,6,6,6,7,6,6,7,6,,,,,,
43,2019,Male,White,Social Studies,Less than 1 year,Non-Leader,6,7,7,7,7,6,7,7,7,7,7,7,4,7,7,7,7,6,7,6,7,,,,,,
44,2019,Male,White,Support Staff/Technology/Consultants,Over 3 years,Non-Leader,6,6,6,7,7,5,7,7,6,7,7,7,7,6,7,6,6,5,6,6,7,,,,,,
45,2019,Male,White,Support Staff/Technology/Consultants,Less than 1 year,Non-Leader,7,7,6,6,7,6,6,7,6,7,7,7,6,6,7,7,6,6,6,6,7,,,,,,
46,2019,Male,White,Visual Art,Over 3 years,Non-Leader,7,7,7,7,7,7,5,7,7,7,7,7,2,2,6,7,7,5,7,3,7,,,,,,
47,2019,Female,Black,English Language Arts,Less than 1 year,Non-Leader,6,6,5,5,7,5,5,7,7,6,5,6,5,4,5,5,4,4,5,5,4,,,,,,
48,2019,Female,Black,English Language Arts,Over 3 years,Non-Leader,6,5,6,7,7,7,6,7,5,6,6,7,6,4,6,4,5,5,6,6,7,,,,,,
49,2019,Female,Black,Mathematics/English,Less than 1 year,Non-Leader,5,6,5,7,7,6,6,6,5,6,7,7,4,5,6,5,6,5,5,5,6,,,,,,
50,2019,Female,Latino/Hispanic,Social Studies,Less than 1 year,Non-Leader,6,7,5,6,7,6,6,6,6,5,5,5,5,6,6,4,5,5,5,6,5,,,,,,
51,2019,Female,Latino/Hispanic,Support Staff/Technology/Consultants,Less than 1 year,Non-Leader,6,6,5,4,5,5,5,5,5,4,5,5,4,5,5,5,3,3,5,6,5,,,,,,
52,2019,Female,Latino/Hispanic,Support Staff/Technology/Consultants,1-3 years,Non-Leader,7,7,6,7,7,6,7,7,6,6,7,7,7,7,7,6,7,7,7,7,7,,,,,,
53,2019,Female,"Multiple or some other race, ethnicity, or origin",Support Staff/Technology/Consultants,Less than 1 year,Non-Leader,7,7,6,6,7,6,6,7,7,7,7,7,6,7,7,7,5,6,6,6,7,,,,,,
54,2019,Female,White,Mathematics/English,Over 3 years,Leader,7,7,7,6,7,6,6,7,7,7,5,7,6,7,7,7,7,6,6,6,7,,,,,,
55,2019,Female,White,Mathematics/English,Over 3 years,Leader,6,7,6,7,6,7,7,7,7,7,6,7,7,6,7,7,6,6,6,6,6,,,,,,
56,2019,Female,White,Mathematics/English,1-3 years,Non-Leader,5,3,5,5,7,3,6,5,7,5,6,6,2,3,6,4,4,3,5,5,3,,,,,,
57,2019,Female,White,Mathematics/English,Over 3 years,Non-Leader,5,6,6,6,7,6,6,7,7,4,6,6,6,6,7,7,6,5,6,6,6,,,,,,
58,2019,Female,White,Mathematics/English,Less than 1 year,Non-Leader,5,6,5,4,7,6,5,7,6,5,3,6,6,4,6,5,5,4,5,6,5,,,,,,
59,2019,Female,White,Social Studies,1-3 years,Non-Leader,6,7,7,7,6,7,6,5,6,7,7,7,6,6,6,6,5,4,5,4,6,,,,,,
60,2019,Female,White,Social Studies,Over 3 years,Non-Leader,6,7,6,7,7,5,6,7,7,7,6,5,6,6,6,6,6,5,6,6,5,,,,,,
61,2019,Female,White,Social Studies,Less than 1 year,Non-Leader,6,7,6,6,7,7,5,7,7,6,6,7,7,7,7,7,6,5,7,6,5,,,,,,
62,2019,Female,White,Support Staff/Technology/Consultants,Less than 1 year,Non-Leader,6,7,6,6,4,5,5,7,7,5,7,7,4,7,6,6,5,6,7,6,6,,,,,,
63,2019,Female,White,Support Staff/Technology/Consultants,1-3 years,Non-Leader,5,5,5,6,6,5,5,7,6,5,5,6,4,4,5,4,5,4,5,4,4,,,,,,
64,2019,Female,White,Support Staff/Technology/Consultants,1-3 years,Non-Leader,5,6,5,6,6,6,5,6,5,5,6,6,4,6,6,5,1,1,3,5,5,,,,,,
65,2019,Female,White,Support Staff/Technology/Consultants,Over 3 years,Leader,7,6,6,6,7,6,6,6,7,7,6,7,6,6,4,7,6,4,5,6,6,,,,,,
66,2019,Female,White,Visual Art,Over 3 years,Non-Leader,6,7,6,7,7,7,7,7,6,7,7,7,6,6,6,6,6,5,6,4,7,,,,,,
67,2019,,White,Support Staff/Technology/Consultants,Over 3 years,Non-Leader,6,6,6,5,6,5,6,6,5,7,5,6,5,6,5,5,6,5,5,6,5,,,,,,
68,2019,,,Visual Art,Less than 1 year,Non-Leader,5,4,5,7,7,7,5,7,5,6,7,7,5,5,6,5,3,4,5,5,5,,,,,,
69,2020,Male,Asian,Foreign Language,1-3 years,Non-Leader,6,6,5,6,4,5,6,7,7,7,5,6,7,6,6,5,6,6,6,5,6,,,,,,
70,2020,Male,Asian,Mathematics/English,Over 3 years,Leader,6,7,7,7,7,7,7,7,7,6,7,7,6,6,7,7,6,5,6,5,7,,,,,,
71,2020,Male,Black,English Language Arts,Over 3 years,Leader,7,7,6,7,7,6,7,7,7,7,7,5,4,7,7,7,7,5,7,4,7,,,,,,
72,2020,Male,Black,Social Studies,Less than 1 year,Non-Leader,5,5,6,7,6,7,6,6,6,6,7,6,5,6,5,5,6,5,5,6,6,,,,,,
73,2020,Male,Latino/Hispanic,Mathematics/English,Over 3 years,Non-Leader,7,7,5,4,7,7,7,7,6,6,5,5,6,6,6,7,7,7,6,7,6,,,,,,
74,2020,Male,White,Foreign Language,1-3 years,Non-Leader,7,7,7,6,6,6,6,7,6,6,7,7,6,6,6,6,6,3,6,5,6,,,,,,
75,2020,Male,White,Social Studies,Less than 1 year,Non-Leader,3,6,5,3,6,4,5,6,5,5,4,5,5,5,5,5,6,5,5,6,5,,,,,,
76,2020,Male,White,Social Studies,1-3 years,Leader,5,7,6,7,7,6,7,6,5,7,5,7,4,6,6,6,5,5,6,6,6,,,,,,
77,2020,Male,White,Social Studies,Less than 1 year,Non-Leader,6,7,6,7,7,7,7,7,7,7,7,7,5,6,7,7,7,5,6,6,7,,,,,,
78,2020,Male,White,Support Staff/Technology/Consultants,1-3 years,Non-Leader,6,6,5,7,7,6,5,7,6,7,7,7,6,6,7,6,5,6,6,5,6,,,,,,
79,2020,Female,Black,English Language Arts,Less than 1 year,Leader,7,5,6,6,6,6,6,7,7,5,7,7,5,7,7,7,5,5,6,6,7,,,,,,
80,2020,Female,Black,English Language Arts,Over 3 years,Non-Leader,6,6,6,6,7,5,6,7,6,6,6,5,5,4,5,7,6,4,5,6,4,,,,,,
81,2020,Female,Black,Mathematics/English,Less than 1 year,Non-Leader,3,5,4,6,7,5,3,5,5,5,6,5,2,3,4,4,3,2,4,4,3,,,,,,
82,2020,Female,Black,Support Staff/Technology/Consultants,Less than 1 year,Non-Leader,6,6,4,4,5,5,4,7,7,7,6,4,4,4,4,4,5,4,4,4,4,,,,,,
83,2020,Female,Black,Support Staff/Technology/Consultants,1-3 years,Non-Leader,3,5,4,7,7,7,4,7,4,6,7,5,3,4,6,4,3,3,5,5,5,,,,,,
84,2020,Female,Latino/Hispanic,English Language Arts,Less than 1 year,Non-Leader,6,6,5,6,7,6,5,7,6,5,6,6,6,6,6,6,5,4,5,5,6,,,,,,
85,2020,Female,Latino/Hispanic,Social Studies,Less than 1 year,Non-Leader,5,7,5,6,6,5,4,5,6,6,5,5,4,5,4,5,5,3,3,4,5,,,,,,
86,2020,Female,Latino/Hispanic,Support Staff/Technology/Consultants,Over 3 years,Non-Leader,7,7,6,7,6,6,6,7,6,6,7,6,6,6,6,6,6,6,7,7,6,,,,,,
87,2020,Female,"Multiple or some other race, ethnicity, or origin",Support Staff/Technology/Consultants,1-3 years,Non-Leader,6,7,2,7,6,3,4,7,7,2,7,5,5,6,4,6,2,5,5,6,5,,,,,,
88,2020,Female,White,Foreign Language,Less than 1 year,Non-Leader,6,6,5,6,5,4,4,7,7,5,4,7,4,5,6,6,4,4,5,6,4,,,,,,
89,2020,Female,White,Foreign Language,Over 3 years,Non-Leader,5,6,6,4,7,7,5,7,7,6,6,7,6,6,6,7,5,4,6,5,6,,,,,,
90,2020,Female,White,Mathematics/English,Less than 1 year,Non-Leader,5,5,6,3,7,7,6,7,7,6,4,7,7,7,6,6,6,6,5,7,7,,,,,,
91,2020,Female,White,Social Studies,1-3 years,Non-Leader,6,7,7,7,7,7,6,7,6,6,7,7,7,5,6,7,5,5,6,6,6,,,,,,
92,2020,Female,White,Social Studies,1-3 years,Non-Leader,6,6,7,5,7,7,6,6,7,7,7,7,6,6,7,5,6,5,6,4,6,,,,,,
93,2020,Female,White,Support Staff/Technology/Consultants,Over 3 years,Leader,7,6,6,6,7,6,7,7,7,7,6,7,6,6,6,7,6,5,6,6,7,,,,,,
94,2020,Female,White,Support Staff/Technology/Consultants,Over 3 years,Non-Leader,5,5,5,6,6,5,6,6,5,6,5,6,6,6,5,5,6,4,4,5,6,,,,,,
