SystemID,SystemName,SchoolName,Total,GradePK,GradeKK,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,state_abbrev,academic_school_year
749,Warren County,3050-Freeman Elementary School,325,21,52,48,53,54,41,56,0,0,0,0,0,0,0,GA,2020-2021
749,Warren County,System Total,640,21,52,48,53,54,41,56,59,40,56,36,45,42,37,GA,2020-2021
750,Washington County,0199-T. J. Elder Middle School,744,0,0,0,0,0,0,0,252,245,247,0,0,0,0,GA,2020-2021
750,Washington County,1052-Washington County High School,877,0,0,0,0,0,0,0,0,0,0,234,214,218,211,GA,2020-2021
750,Washington County,2050-Ridge Road Primary School,722,69,208,216,229,0,0,0,0,0,0,0,0,0,0,GA,2020-2021
750,Washington County,4050-Ridge Road Elementary School,639,0,0,0,0,192,209,238,0,0,0,0,0,0,0,GA,2020-2021
750,Washington County,System Total,2982,69,208,216,229,192,209,238,252,245,247,234,214,218,211,GA,2020-2021
751,Wayne County,0101-Wayne County High School,1418,0,0,0,0,0,0,0,0,0,0,420,365,321,312,GA,2020-2021
751,Wayne County,0194-Martha Puckett Middle School,595,0,0,0,0,0,0,0,191,195,209,0,0,0,0,GA,2020-2021
751,Wayne County,0294-Arthur Williams Middle School,622,0,0,0,0,0,0,0,226,200,196,0,0,0,0,GA,2020-2021
751,Wayne County,0394-Martha Rawls Smith Elementary School,575,89,82,77,95,73,74,85,0,0,0,0,0,0,0,GA,2020-2021
751,Wayne County,0494-Bacon Elementary School,577,60,85,93,78,84,85,92,0,0,0,0,0,0,0,GA,2020-2021
751,Wayne County,1050-Jesup Elementary School,625,59,93,86,100,75,117,95,0,0,0,0,0,0,0,GA,2020-2021
751,Wayne County,1052-Screven Elementary School,205,19,22,32,29,34,29,40,0,0,0,0,0,0,0,GA,2020-2021
751,Wayne County,3050-Odum Elementary School,392,40,55,64,57,49,58,69,0,0,0,0,0,0,0,GA,2020-2021
751,Wayne County,System Total,5009,267,337,352,359,315,363,381,417,395,405,420,365,321,312,GA,2020-2021
752,Webster County,0104-Webster County Elementary/Middle School,204,12,24,20,16,23,22,22,28,14,23,0,0,0,0,GA,2020-2021
752,Webster County,0108-Webster County High School,74,0,0,0,0,0,0,0,0,0,0,25,19,20,10,GA,2020-2021
752,Webster County,System Total,278,12,24,20,16,23,22,22,28,14,23,25,19,20,10,GA,2020-2021
753,Wheeler County,1052-Wheeler County Elementary School,409,40,62,68,50,59,66,64,0,0,0,0,0,0,0,GA,2020-2021
753,Wheeler County,1053-Wheeler County Middle School,228,0,0,0,0,0,0,0,74,85,69,0,0,0,0,GA,2020-2021
753,Wheeler County,3052-Wheeler County High School,290,0,0,0,0,0,0,0,0,0,0,80,69,74,67,GA,2020-2021
753,Wheeler County,System Total,927,40,62,68,50,59,66,64,74,85,69,80,69,74,67,GA,2020-2021
754,White County,0100-Tesnatee Gap Elementary (Old White Co. Intermediate),519,36,83,88,78,88,81,65,0,0,0,0,0,0,0,GA,2020-2021
754,White County,0104-Mount Yonah Elementary School,407,0,56,69,84,66,62,70,0,0,0,0,0,0,0,GA,2020-2021
754,White County,0105-White County High School,1181,0,0,0,0,0,0,0,0,0,0,309,316,287,269,GA,2020-2021
754,White County,0109-Mossy Creek Elementary School,377,0,67,57,64,56,71,62,0,0,0,0,0,0,0,GA,2020-2021
754,White County,0174-White County Middle School,891,0,0,0,0,0,0,0,275,310,306,0,0,0,0,GA,2020-2021
754,White County,0200-Jack P Nix Elementary School,385,0,52,59,52,72,74,76,0,0,0,0,0,0,0,GA,2020-2021
754,White County,System Total,3760,36,258,273,278,282,288,273,275,310,306,309,316,287,269,GA,2020-2021
755,Whitfield County,0106-New Hope Middle School,549,0,0,0,0,0,0,0,184,185,180,0,0,0,0,GA,2020-2021
755,Whitfield County,0112-Coahulla Creek High School,1116,0,0,0,0,0,0,0,0,0,0,302,282,287,245,GA,2020-2021
755,Whitfield County,0175-Northwest Whitfield County High School,1294,0,0,0,0,0,0,0,0,0,0,340,350,327,277,GA,2020-2021
755,Whitfield County,0199-New Hope Elementary School,536,0,97,89,91,95,87,77,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,0206-Beaverdale Elementary School,373,22,68,51,49,66,50,67,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,0211-Cedar Ridge Elementary,403,41,56,56,65,49,66,70,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,0212-Phoenix High School,128,0,0,0,0,0,0,0,0,0,0,4,10,31,83,GA,2020-2021
755,Whitfield County,0275-Southeast Whitfield County High School,1461,0,0,0,0,0,0,0,0,0,0,382,375,350,354,GA,2020-2021
755,Whitfield County,0475-Eastbrook Middle School,765,0,0,0,0,0,0,0,237,268,260,0,0,0,0,GA,2020-2021
755,Whitfield County,0575-North Whitfield Middle School,779,0,0,0,0,0,0,0,255,266,258,0,0,0,0,GA,2020-2021
755,Whitfield County,0675-Valley Point Middle School,486,0,0,0,0,0,0,0,171,162,153,0,0,0,0,GA,2020-2021
755,Whitfield County,0775-Westside Middle School,427,0,0,0,0,0,0,0,134,140,153,0,0,0,0,GA,2020-2021
755,Whitfield County,1050-Antioch Elementary School,489,85,81,69,65,62,80,47,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,1052-Eastside Elementary School,574,38,98,98,74,79,99,88,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,1054-Varnell Elementary School,370,0,50,65,72,60,66,57,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,2050-Cohutta Elementary School,289,22,50,62,41,38,38,38,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,2052-Pleasant Grove Elementary School,411,22,61,61,63,74,67,63,0,0,0,0,0,0,0,GA,2020-2021
755,Whitfield County,2054-Westside Elementary School,605,40,86,102,84,98,101,94,0,0,0,0,0,0,0,GA,2020-2021
